Museum_Name,Museum_ID,State
"1000 ISLANDS MUSEUMS",8403601586,NY
"100TH MERIDIAN MUSEUM",8403100349,NE
"102ND INFANTRY REGIMENT MUSEUM",8400900224,CT
"103RD OHIO VOLUNTEER INFANTRY CIVIL WAR MUSEUM",8403900339,OH
"1078 GALLERY",8400601670,CA
"125TH NEW YORK REGIMENTAL ASSOCIATION",8403601146,NY
"12TH ARMORED DIVISION MEMORIAL MUSEUM",8404800779,TX
"14 FLAGS MUSEUM",8409400002,OK
"150TH APPOMATTOX - APPOMATTOX HISTORICAL SOCIETY",8403601096,NY
"1696 THOMAS MASSEY HOUSE",8404200404,PA
"1699 HISTORICAL SOCIETY",8402800163,MS
"1708 GALLERY",8405100638,VA
"1719 HANS HERR HOUSE & MUSEUM",8409400003,PA
"1719 WILLIAM TRENT HOUSE MUSEUM",8409400004,NJ
"1749 COURT HOUSE MUSEUM",8402500602,MA
"1759 VOUGHT HOUSE",8403400168,NJ
"1761 POWNALBOROUGH COURTHOUSE",8409400005,ME
"1794 MEETINGHOUSE",8402500424,MA
"17TH VIRGINIA VOLUNTEER INFANTY COMPANIES A-K LIVING HISTORY",8403400747,NJ
"1811 LINCOLN COUNTY MUSEUM & OLD JAIL",8409400006,ME
"1812 HOMESTEAD",8403600504,NY
"1816 FARMINGTON QUAKER MEETINGHOUSE MUSEUM",8403602092,NY
"1817 SADDLE FACTORY MUSEUM",8409400007,KY
"1839 COURT HOUSE MUSEUM",8402600200,MI
"1844 CONCORD SCHOOL LOG CABIN HISTORICAL SOCIETY",8402900148,MO
"1850 HOUSE",8402200089,LA
"1859 ASHTON VILLA",8404800353,TX
"1859 JAIL MARSHAL'S HOME & MUSEUM",8402900125,MO
"1881 COURTHOUSE MUSEUM",8404600047,SD
"1889 SOUTH FORK FISHING AND HUNTING HISTORICAL PRESERVATION SOCIETY",8404201204,PA
"1890 HOUSE MUSEUM AND CENTER FOR THE ARTS",8403600795,NY
"1897 CLARK COUNTY JAIL MUSEUM",8405500181,WI
"1897 POE HOUSE MUSEUM",8403700128,NC
"18TH STREET ARTS COMPLEX",8400602747,CA
"1908 COURTHOUSE FOUNDATION",8405100685,VA
"1930S GENERAL STORE MUSEUM",8400601272,CA
"1932 & 1980 LAKE PLACID WINTER OLYMPIC MUSEUM",8403601519,NY
"1937 CHINA MUSEUM",8409400008,CA
"1940 AIR TERMINAL MUSEUM",8404800360,TX
"19TH CENTURY RURAL FARMHOUSE MUSEUM",8402300075,ME
"1ST CAVALRY DIVISION MUSEUM",8404802028,TX
"21C MUSEUM HOTEL - BENTONVILLE",8409400009,AR
"21C MUSEUM HOTEL - CINCINNATI",8409400010,OH
"21C MUSEUM HOTEL - DURHAM",8409400011,NC
"21C MUSEUM HOTEL - LOUISVILLE",8409400012,KY
"24TH VIRGINIA VOLUNTEER INFANTRY REGIMENT",8405100728,VA
