Museum_Name,Rating
"1940 Air Terminal Museum",20.4
"21c Museum Hotel",35.4
"45th Infantry Division Museum",41.4
"Abbe Museum",44.2
"Abby Aldrich Rockefeller Folk Art Museum",92
"Ackland Art Museum",18
"Adams Museum",78.2
"Adirondack Museum",56.6
"Admiral Nimitz State Historic Site",64.2
"Ah-Tah-Thi-Ki Museum",18
"Air Force Armament Museum",163.4
"Air Mobility Command Museum",102.4
"Airborne and Special Operations Museum",130.4
"Akta Lakota Museum",29.2
"Alaska State Museum",50.8
"Albuquerque Museum",67.2
"Allentown Art Museum",19.4
"Altoona Railroaders Memorial Museum",39
"Amelia Island Museum of History",68.4
"America on Wheels Museum",44.4
"American Airpower Museum",15.8
"American Computer Museum",28.6
"American Jazz Museum",34
"American Museum of Science & Energy",59
"American Sign Museum",76.8
"American Visionary Art Museum",218.8
"Amon Carter Museum of American Art",75.8
"Anderson-Abruzzo International Balloon Museum",80
"Andy Warhol Museum",143.4
"Ann Arbor Hands-On Museum",64.2
"Anniston Museum of Natural History",19
"Antique Automobile Club of America Museum",101.2
"Apalachicola Maritime Museum",28.4
"Appleton Museum of Art",43
"Arizona Copper Art Museum",46.6
"Arizona Museum of Natural History",44.4
"Arizona Route 66 Museum",68.4
"Arizona Science Center",117.8
"Arizona State Museum",19.4
"Armed Forces History Museum",41.6
"Armed Forces Museum",9.8
"Armstrong Air & Space Museum",35
"Art Car Museum",21.8
"Asheville Art Museum",14
"aSHEville Museum",18.4
"Asian Art Museum",185.4
"Atlanta History Center",171.4
"Auburn Cord Duesenberg Automobile Museum",66
"Augusta Museum of History",32.8
"Automobile Driving Museum",14.2
"Autry Museum of the American West",72.6
"Ava Gardner Museum",22
"B.B. King Museum and Delta Interpretive Center",32.4
"Backstreet Cultural Museum",48.4
"Bainbridge Island Museum of Art",29
"Baker Heritage Museum",18.2
"Baltimore and Ohio Railroad Museum",109
"Baltimore Museum of Art",96.6
"Baltimore Museum of Industry",36.2
"Barber Vintage Motorsports Museum",133
"Barksdale Global Power Museum",24
"Bass Museum of Art",21.6
"Bechtler Museum of Modern Art",32.6
"Bellevue Arts Museum (BAM)",24.6
"Belz Museum of Asian & Judaic Art",36
"Benjamin Franklin Museum",51.6
"Bennington Museum",39.2
"Berkshire Museum",34.2
"Bicycle Heaven",67.2
"Biedenharn Coca-Cola Museum",43.8
"Billings Farm and Museum",75.4
"Billy the Kid Museum",24.4
"Biodiversity Institute & Natural History Museum",14.8
"Birmingham Civil Rights Institute",136.2
"Birmingham Museum of Art",67.4
"Bisbee Mining & Historical Museum",55.6
"Blackhawk Museum",41.6
"Boca Raton Museum of Art",44.2
"Boot Hill Museum",107
"Booth Western Art Museum",69.8
"Boston Children's Museum",118
"Bowers Museum of Cultural Art",50.2
"Bradbury Science Museum",100.4
"Brandywine River Museum of Art",101
"Briscoe Western Art Museum",69.4
"Brooklyn Museum",157.8
"Bruce Museum",23.8
"Buffalo Bill Grave and Museum",142.8
"Buffalo Bill Museum",37.6
"Buffalo Museum of Science",31.6
"Buffalo Soldiers National Museum",15.2
"Buford Pusser Home and Museum",11.2
"Burpee Museum of Natural History",20.2
"C.M. Russell Museum",55.8
"California Automobile Museum",41.8
"Calvert Marine Museum and Drum Point Lighthouse",51.4
"Cameron Art Museum",18.8
"Campus Martius Museum",14.6
"Cantor Arts Center",59.2
"Cape Ann Museum",22
"Cape Fear Museum",28.8
"Carnegie Museum of Art",69
"Carnegie Museum of Natural History",195.2
"Carolinas Aviation Museum",77
"Cedar Key Historical Society Museum",45.2
"Center for Civil and Human Rights",177.2
"Charles H. MacNider Art Museum",11.2
"Charles H. Wright Museum of African American History",32
"Charles Hosmer Morse Museum of American Art",189.8
"Charles M. Schulz Museum",139.4
"Charleston Museum",110
"Chazen Museum of Art",37.2
"Chennault Aviation and Military Museum",16.2
"Chesapeake Bay Maritime Museum",127.6
"Cheyenne Frontier Days Old West Museum",38.8
"Chicago Children's Museum",73.2
"Chicago History Museum",124.8
"Chihuly Collection",261
"Children's Discovery Museum",20.6
"Children's Museum of Denver",69
"Children's Museum of Houston",216.8
"Children's Museum of Manhattan",25.8
"Children's Museum of Memphis",35.4
"Children's Museum of Pittsburgh",81.6
"Children's Museum of Virginia",40.8
"Children's Museum of Winston-Salem",30.6
"Children's Museum Tucson",33
"Children’s Museum of Phoenix",94.4
"Christ in the Smokies Museum & Gardens",87.2
"Chrysler Museum of Art",119.8
"Chudnow Museum of Yesteryear",38.4
"Cincinnati Art Museum",123.2
"Cincinnati Museum Center at Union Terminal",277.2
"Circus World",86
"Civil War Medical Museum",20
"Civil War Museum",29.2
"Clark County Heritage Museum",93.6
"Cleveland Museum of Natural History",74.8
"Clyfford Still Museum",52
"Coastal Discovery Museum",143
"Colby College Museum of Art",22.4
"Collier County Museum",18.8
"Colorado Railroad Museum",78
"Colorado Springs Pioneers Museum",45.6
"Columbia Museum of Art",34
"Columbia River Maritime Museum",217.2
"Columbus Museum",21
"Columbus Museum of Art",57.8
"Commemorative Air Force Museum",53
"Computer History Museum",85.4
"Concord Museum",30.6
"Confederate Museum",36.4
"Connecticut River Museum",23.4
"Contemporary Jewish Museum",23.8
"Cooper Hewitt, Smithsonian Design Museum",47
"Cornell Fine Arts Museum",13
"Corpus Christi Museum of Science and History",38
Cosmosphere,85
"Cradle of Aviation Museum",52
"Crawford Auto-Aviation Museum",19.6
"Creation Museum",199
"Creative Discovery Museum",137.2
"Crocker Art Museum",140.6
"Culinary Arts Museum",17.8
"Currahee Military Museum",19.4
"Currier Museum of Art",79
"Dallas Holocaust Museum",57
"Dallas Museum of Art",242.8
"Danbury Railway Museum",21.8
"DAR Museum",25.4
"David J. Sencer CDC Museum",10.4
"Dayton Art Institute",52.4
"de Young Museum",244
"Delta Flight Museum",30.4
"Deming Luna Mimbres Museum",34.4
"Dennos Museum Center",22.8
"Destin History & Fishing Museum",19.2
"Detroit Historical Museum",42.8
"DeWitt Wallace Decorative Arts Museum",80.2
"Discovery Center Museum",43.8
"Discovery Park of America",52.4
"Donner Memorial State Park and Emigrant Trail Museum",59.8
"Door County Historical Museum",21.4
"Door County Maritime Museum",49.4
"Dr Pepper Museum",124.4
"Dr. Seuss National Memorial Sculpture Garden",53.2
"Draper Natural History Museum",22
"Dwight D. Eisenhower Library and Museum",93.6
"EAA AirVenture Museum",86.6
"East Texas Oil Museum",27.2
"Edgar Allan Poe Museum",51.8
"El Paso Museum of Art",25.2
"Elliott Museum",63.6
"Ellis Island Immigration Museum",219
"Elverhoj Museum",14.6
"Elvis Presley Birthplace & Museum",166.4
"Erie Canal Museum",45.8
"Erotic Heritage Museum, Las Vegas",19.2
"ESSE Purse Museum",19.6
"Estes Park Museum",21
"Estrella Warbird Air Museum",22.6
"Evansville Museum of Arts, History & Science",16.2
"Evergreen Aviation & Space Museum",203.8
"Explore More Discovery Museum",14.6
"Fairbanks Museum and Planetarium",20.4
"Fairhope Museum",17.2
"Farnsworth Art Museum",111.4
"Fenimore Art Museum",86.8
"Fernbank Museum of Natural History",132.4
"Figge Art Museum",35.4
"Fire Museum of Memphis",22.6
