Museum_Name,Museum_ID,State,Rating
"1940 AIR TERMINAL MUSEUM",8404800360,TX,20.4
"45TH INFANTRY DIVISION MUSEUM",8404000107,OK,41.4
"ABBE MUSEUM",8402300091,ME,44.2
"ACKLAND ART MUSEUM",8409502665,NC,18
"ADAMS MUSEUM",8404600043,SD,78.2
"ADIRONDACK MUSEUM",8403600402,NY,56.6
"AH-TAH-THI-KI MUSEUM",8401201272,FL,18
"AIR FORCE ARMAMENT MUSEUM",8401200258,FL,163.4
"AIRBORNE AND SPECIAL OPERATIONS MUSEUM",8403700607,NC,130.4
"AKTA LAKOTA MUSEUM",8404600046,SD,29.2
"ALASKA STATE MUSEUM",8400200044,AK,50.8
"ALLENTOWN ART MUSEUM",8404200480,PA,19.4
"AMELIA ISLAND MUSEUM OF HISTORY",8401200731,FL,68.4
"AMERICAN AIRPOWER MUSEUM",8403600410,NY,15.8
"AMERICAN JAZZ MUSEUM",8402900758,MO,34
"AMERICAN MUSEUM OF SCIENCE & ENERGY",8409500249,TN,59
"AMERICAN SIGN MUSEUM",8403900774,OH,76.8
"AMERICAN VISIONARY ART MUSEUM",8402400118,MD,218.8
"ANDY WARHOL MUSEUM",8404200254,PA,143.4
"ANN ARBOR HANDS-ON MUSEUM",8402600537,MI,64.2
"ANTIQUE AUTOMOBILE CLUB OF AMERICA MUSEUM",8409400049,PA,101.2
"APALACHICOLA MARITIME MUSEUM",8401200434,FL,28.4
"APPLETON MUSEUM OF ART",8401200684,FL,43
"ARIZONA MUSEUM OF NATURAL HISTORY",8400400372,AZ,44.4
"ARIZONA SCIENCE CENTER",8400400304,AZ,117.8
"ARIZONA STATE MUSEUM",8409501322,AZ,19.4
"ARMED FORCES MUSEUM",8402700199,MN,9.8
"ARMSTRONG AIR & SPACE MUSEUM",8403900453,OH,35
"ATLANTA HISTORY CENTER",8401300120,GA,171.4
"AUGUSTA MUSEUM OF HISTORY",8401300665,GA,32.8
"AUTOMOBILE DRIVING MUSEUM",8400601851,CA,14.2
"AVA GARDNER MUSEUM",8403700645,NC,22
"B.B. KING MUSEUM AND DELTA INTERPRETIVE CENTER",8409400058,MS,32.4
"BACKSTREET CULTURAL MUSEUM",8402200392,LA,48.4
"BAINBRIDGE ISLAND MUSEUM OF ART",8405300240,WA,29
"BALTIMORE MUSEUM OF ART",8402400587,MD,96.6
"BALTIMORE MUSEUM OF INDUSTRY",8402400373,MD,36.2
"BECHTLER MUSEUM OF MODERN ART",8403700718,NC,32.6
"BENJAMIN FRANKLIN MUSEUM",8409400071,PA,51.6
"BENNINGTON MUSEUM",8405000061,VT,39.2
"BERKSHIRE MUSEUM",8402500256,MA,34.2
"BIRMINGHAM CIVIL RIGHTS INSTITUTE",8400100229,AL,136.2
"BIRMINGHAM MUSEUM OF ART",8400100124,AL,67.4
"BISBEE MINING & HISTORICAL MUSEUM",8400400082,AZ,55.6
"BLACKHAWK MUSEUM",8400600619,CA,41.6
"BOCA RATON MUSEUM OF ART",8401201070,FL,44.2
"BOOT HILL MUSEUM",8402000243,KS,107
"BOOTH WESTERN ART MUSEUM",8401300123,GA,69.8
"BOSTON CHILDREN'S MUSEUM",8409500286,MA,118
"BRADBURY SCIENCE MUSEUM",8403500070,NM,100.4
"BRUCE MUSEUM",8400900432,CT,23.8
"BUFFALO MUSEUM OF SCIENCE",8403600405,NY,31.6
"BUFORD PUSSER HOME AND MUSEUM",8404700113,TN,11.2
"BURPEE MUSEUM OF NATURAL HISTORY",8409500301,IL,20.2
"CAMPUS MARTIUS MUSEUM",8403900210,OH,14.6
"CARNEGIE MUSEUM OF ART",8404201431,PA,69
"CHARLES H. MACNIDER ART MUSEUM",8401900625,IA,11.2
"CHARLES HOSMER MORSE MUSEUM OF AMERICAN ART",8401200225,FL,189.8
"CHARLESTON MUSEUM",8404500359,SC,110
"CHAZEN MUSEUM OF ART",8409502954,WI,37.2
"CHESAPEAKE BAY MARITIME MUSEUM",8402400194,MD,127.6
"CHEYENNE FRONTIER DAYS OLD WEST MUSEUM",8405600116,WY,38.8
"CHICAGO CHILDREN'S MUSEUM",8401700228,IL,73.2
"CHICAGO HISTORY MUSEUM",8401701391,IL,124.8
"CHILDREN'S DISCOVERY MUSEUM",8400600510,CA,20.6
"CHILDREN'S MUSEUM OF DENVER",8400800426,CO,69
"CHILDREN'S MUSEUM OF HOUSTON",8404801107,TX,216.8
"CHILDREN'S MUSEUM OF MANHATTAN",8409400860,NY,25.8
"CHILDREN'S MUSEUM OF MEMPHIS",8404700409,TN,35.4
"CHILDREN'S MUSEUM OF PITTSBURGH",8404200220,PA,81.6
"CHILDREN'S MUSEUM OF VIRGINIA",8405100155,VA,40.8
"CHILDREN'S MUSEUM OF WINSTON-SALEM",8403700706,NC,30.6
"CHILDREN'S MUSEUM TUCSON",8409400884,AZ,33
"CLEVELAND MUSEUM OF NATURAL HISTORY",8403900887,OH,74.8
"CLYFFORD STILL MUSEUM",8400800689,CO,52
"COASTAL DISCOVERY MUSEUM",8404500254,SC,143
"COLBY COLLEGE MUSEUM OF ART",8409502977,ME,22.4
"COLLIER COUNTY MUSEUM",8401200209,FL,18.8
"COLORADO RAILROAD MUSEUM",8400800122,CO,78
"COLORADO SPRINGS PIONEERS MUSEUM",8400800220,CO,45.6
"COLUMBUS MUSEUM",8401300100,GA,21
"COLUMBUS MUSEUM OF ART",8403900837,OH,57.8
"COMMEMORATIVE AIR FORCE MUSEUM",8401900105,IA,53
"COMPUTER HISTORY MUSEUM",8400602033,CA,85.4
"CORNELL FINE ARTS MUSEUM",8409503002,FL,13
"CREATION MUSEUM",8402100067,KY,199
"CREATIVE DISCOVERY MUSEUM",8404700441,TN,137.2
"CULINARY ARTS MUSEUM",8404400031,RI,17.8
"CURRAHEE MILITARY MUSEUM",8401300417,GA,19.4
"CURRIER MUSEUM OF ART",8409503024,NH,79
"DALLAS HOLOCAUST MUSEUM",8404801563,TX,57
"DALLAS MUSEUM OF ART",8404801413,TX,242.8
"DANBURY RAILWAY MUSEUM",8400900236,CT,21.8
"DAYTON ART INSTITUTE",8403900504,OH,52.4
"DENNOS MUSEUM CENTER",8409501408,MI,22.8
"DESTIN HISTORY & FISHING MUSEUM",8401200208,FL,19.2
